EMPO3,count,mean,std,min,25%,50%,75%,max,median
Aerosol (non-saline),81.0,0.939781450769941,0.19794185678134157,0.0673611085857054,0.9246642928395128,0.9742526096306644,1.0210467076565422,1.264071170505206,0.9742526096306644
Animal corpus,322.0,1.0397661833422642,0.23567959103636035,0.0018130539887187,0.9976918814655995,1.0026978443482377,1.0377731082766002,1.994551224477576,1.0026978443482377
Animal distal gut,953.0,0.8844719701655301,0.2768141137437979,0.0372617157097465,0.7806848606973634,0.967061601333934,1.017510719722731,3.843123007219964,0.967061601333934
Animal proximal gut,354.0,0.8880799905945735,0.2707623454395705,0.0130998971630819,0.8467554693758602,0.966723947466543,1.0014917555241103,1.9468169959824373,0.966723947466543
Animal secretion,917.0,0.8990450132266439,0.19623552134162697,0.1256138388648687,0.7964331172575209,0.9567639940411232,0.998857986715638,1.9971014492753625,0.9567639940411232
Animal surface,987.0,0.9444758253506731,0.15702859347214024,0.0079402549465642,0.9191447578439891,0.9834857097771392,1.0059764185814415,1.7426544417233156,0.9834857097771392
Hypersaline (saline),13.0,1.1258404649773228,0.18070112905236588,0.9718620095050748,1.0019686382063988,1.0627586960786797,1.2487281866272115,1.4946052631578943,1.0627586960786797
Plant corpus,123.0,1.7873550044296211,0.3748595455647552,0.8948920917233246,1.912259916016718,1.9881530165975303,1.9976227088149883,2.0,1.9881530165975303
Plant rhizosphere,552.0,1.0658604374825076,0.19788906179143612,0.370860770058678,0.9896452953597525,1.0981697881300772,1.189194499790183,1.6655123100091396,1.0981697881300772
Plant surface,953.0,1.0396792459182873,0.0891186365286942,0.4939951270771734,1.0055338343543574,1.0185290523947754,1.0479618208051242,1.8453074330996728,1.0185290523947754
Sediment (non-saline),544.0,1.0545755769069323,0.26853682312040195,0.3260950791156637,0.8525655803908709,1.1074301152885828,1.2460935102522703,1.813690965845628,1.1074301152885828
Sediment (saline),541.0,1.0695194394843905,0.13197918304799913,0.0029452165653929,1.012286984634515,1.0639556377079482,1.1198406690871798,1.889621214762644,1.0639556377079482
Soil (non-saline),954.0,1.168706984914397,0.22230733186178242,0.393034717555032,1.045821942237315,1.1263549645406055,1.2286057799657377,3.66690829982648,1.1263549645406055
Surface (non-saline),953.0,1.0771586652698164,0.24375087091669823,0.1498798760485971,0.9596197345030962,1.003474042499969,1.0930964903369584,1.8574182390314795,1.003474042499969
Surface (saline),117.0,0.9886751019002435,0.15732250077433424,0.1316281666378135,0.9765912643554868,1.0015124248623166,1.0271734281557143,1.4533254390169907,1.0015124248623166
Water (non-saline),954.0,1.024750080606762,0.12596141721844414,0.219121489003194,0.9835451655702934,1.0057007242219096,1.0395399926735638,1.9867686025612632,1.0057007242219096
Water (saline),682.0,1.0228673406703315,0.15811120407462592,0.101253531934408,0.9805716307718393,1.0096960340473997,1.0682371152713865,2.6452668123258447,1.0096960340473997
